Field=#~Integer~#~50|Field=Designator~String~Designator~100|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~ISL6236 DEMO.PrjPCB|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\ISL6236A_DEMO\Design Files\Version 1 Issue 1\ISL6236 DEMO.PrjPCB|ReportField=Title~Bill of Materials For Project [ISL6236 DEMO.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~1:24:55 PM|ReportField=ReportDate~7/14/2020|ReportField=ReportDateTime~7/14/2020 1:24:55 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~41|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~7/13/2020|ReportField=CurrentTime~10:55:44 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\ISL6236A_DEMO\Design Files\Version 1 Issue 1\ISL6236 DEMO.SchDoc|ReportField=DocumentName~ISL6236 DEMO.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~6/9/2020|ReportField=Organization~|ReportField=ProjectName~ISL6236 DEMO.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~ISL6236 DEMO.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\ISL6236A_DEMO\Design Files\Version 1 Issue 1\ISL6236 DEMO.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|C1|4u7,50V|C Series 1206 4.7 uF 50 V ±10 % Tolerance X5R SMT Multilayer Ceramic Capacitor|C1206|C3216X5R1H475K160AB|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC3216X5R1H475K160AB%26seller%3DDigi-Key%26sku%3D445-5994-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TDK{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC3216X5R1H475K160AB%26seller%3DDigi-Key%26sku%3D445-5994-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C3216X5R1H475K160AB{URL.TIP}Manufacturer|1|Digi-Key
2|C2, C3, C4|1uF,50V|CAP CER 1UF 50V X7R 0805|C0805|C0805C105K5RACTU|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0805C105K5RACTU%26seller%3DDigi-Key%26sku%3D399-7409-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0805C105K5RACTU%26seller%3DDigi-Key%26sku%3D399-7409-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C0805C105K5RACTU{URL.TIP}Manufacturer|3|Digi-Key
3|C5, C6|10uF,35V|KEMET - C1210C106K6PACTU - SMD Multilayer Ceramic Capacitor, 10 µF, 35 V, 1210 [3225 Metric], ± 10%, X5R, C Series KEMET|C1210|C1210C106K6PACTU|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC1210C106K6PACTU%26seller%3DDigi-Key%26sku%3D399-12070-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC1210C106K6PACTU%26seller%3DDigi-Key%26sku%3D399-12070-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C1210C106K6PACTU{URL.TIP}Manufacturer|2|Digi-Key
4|C7, C12|100nF|Cap Ceramic 0.1uF 50V X7R 10% SMD 2.0 x 1.2 mm 125 C Paper T/R|C0805|C0805C104K5RACTU|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0805C104K5RACTU%26seller%3DDigi-Key%26sku%3D399-1170-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0805C104K5RACTU%26seller%3DDigi-Key%26sku%3D399-1170-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C0805C104K5RACTU{URL.TIP}Manufacturer|2|Digi-Key
5|C8|220nF|CAP CER 0.22UF 50V X7R 0805|C0805|C0805C224K5RACTU|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0805C224K5RACTU%26seller%3DDigi-Key%26sku%3D399-3491-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0805C224K5RACTU%26seller%3DDigi-Key%26sku%3D399-3491-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C0805C224K5RACTU{URL.TIP}Manufacturer|1|Digi-Key
6|C9, C10|330uF,10V|Tantalum Capacitors - Polymer SMD 330uF 10volts 20%|7343-43|T530X337M010ATE004|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DT530X337M010ATE004%26seller%3DDigi-Key%26sku%3D399-10378-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DT530X337M010ATE004%26seller%3DDigi-Key%26sku%3D399-10378-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}T530X337M010ATE004{URL.TIP}Manufacturer|2|Digi-Key
7|C11|10nF|KEMET - C0805F103K5RACTU - SMD Multilayer Ceramic Capacitor, FO-CAP, 10000 pF, 50 V, 0805 [2012 Metric], ± 10%, X7R|C0805|C0805F103K5RACTU|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0805F103K5RACTU%26seller%3DDigi-Key%26sku%3D399-5107-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0805F103K5RACTU%26seller%3DDigi-Key%26sku%3D399-5107-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C0805F103K5RACTU{URL.TIP}Manufacturer|1|Digi-Key
8|J1, J2, J3, J4, J5, J6|4MMx1.5MM|Pad with a hole 4mm x 1.5mm|PAD_WITH_HOLE_4MMx1MM5|PAD_WITH_HOLE_4MMx1MM5|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|6|
9|L1|3u3,DR125-3R3-R|COILTRONICS         DR125-3R3-R             Surface Mount Power Inductor, DR Series, 3.3 H, 9.26 A, 12.7 A, Shielded|DR125|DR125-3R3-R|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DEaton%2520Coiltronics%26mpn%3DDR125-3R3-R%26seller%3DDigi-Key%26sku%3D513-1529-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Eaton%20Coiltronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DEaton%2520Coiltronics%26mpn%3DDR125-3R3-R%26seller%3DDigi-Key%26sku%3D513-1529-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}DR125-3R3-R{URL.TIP}Manufacturer|1|Digi-Key
10|L2|2U2,DR125-2R2-R|FIXED IND 2.2UH 10.9A 4.5 MOHM|DR125|DR125-2R2-R|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DEaton%2520Cooper%26mpn%3DDR125-2R2-R%26seller%3DDigi-Key%26sku%3D513-1662-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Eaton%20Cooper{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DEaton%2520Cooper%26mpn%3DDR125-2R2-R%26seller%3DDigi-Key%26sku%3D513-1662-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}DR125-2R2-R{URL.TIP}Manufacturer|1|Digi-Key
11|Q1, Q2|SI4816BDY-T1-GE3|MOSFET 2N-CH 30V 5.8A 8-SOIC|SO-8|SI4816BDY-T1-GE3|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Siliconix%26mpn%3DSI4816BDY-T1-GE3%26seller%3DDigi-Key%26sku%3DSI4816BDY-T1-GE3DKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Siliconix{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Siliconix%26mpn%3DSI4816BDY-T1-GE3%26seller%3DDigi-Key%26sku%3DSI4816BDY-T1-GE3DKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}SI4816BDY-T1-GE3{URL.TIP}Manufacturer|2|Digi-Key
12|R1, R2, R13, R15|0R|Thick Film Resistors - SMD 1/8W 0.0ohm 5%|R0805|AC0805JR-070RL|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DAC0805JR-070RL%26seller%3DDigi-Key%26sku%3DYAG3755DKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Yageo{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DAC0805JR-070RL%26seller%3DDigi-Key%26sku%3DYAG3755DKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}AC0805JR-070RL{URL.TIP}Manufacturer|4|Digi-Key
13|R3|10R|Res Thick Film 0805 10 Ohm 1% 0.125W(1/8W) ±200ppm/C Sulfur Resistant Molded SMD Automotive Paper T/R|R0805|AC0805FR-0710RL|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DAC0805FR-0710RL%26seller%3DDigi-Key%26sku%3DYAG3690DKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Yageo{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DAC0805FR-0710RL%26seller%3DDigi-Key%26sku%3DYAG3690DKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}AC0805FR-0710RL{URL.TIP}Manufacturer|1|Digi-Key
14|R4, R5|1R|RES SMD 1 OHM 1% 1/8W 0805|R0805|AC0805FR-071RL|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DAC0805FR-071RL%26seller%3DDigi-Key%26sku%3DYAG3705DKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Yageo{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DAC0805FR-071RL%26seller%3DDigi-Key%26sku%3DYAG3705DKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}AC0805FR-071RL{URL.TIP}Manufacturer|2|Digi-Key
